ID_LOTE,ID_FINCA,PENDIENTE_RASTA,TERRENO_CIRCUN_RASTA,POSICION_PERFIL_RASTA,NO_CAPAS_RASTA,ESPESOR,COLOR_SECO,COLOR_HUMEDO,TEXTURA,RESIST_ROMPIMIENTO,PH_RASTA,CARBONATOS_RASTA,PROFUNDIDAD_CARBONATOS,PEDREG_SUPERF_PIEDRAS,PEDREG_SUPERF_ROCAS,PEDREG_PERFIL_PIEDRAS,PEDREG_PERFIL_ROCAS,HOR_PEDREG_ROCOSO_RASTA,HOR_PEDREG_ROCOSO_PROFUNDIDAD_RASTA,HOR_PEDREG_ROCOSO_ESPESOR_RASTA,PROFUND_PRIMERAS_ROCAS_PIEDRAS_RASTA (CM),CAP_ENDURE_RASTA,PROFUND_CAP_ENDURE_RASTA,ESPESOR_CAP_ENDURE_RASTA,MOTEADOS_RASTA,PROFUND_MOTEADOS_RASTA,MOTEADOS_MAS70cm _RASTA,ESTRUCTURA_RASTA,OBSERVA_EROSION_RASTA,OBSERVA_MOHO_RASTA,OBSERVA_COSTRAS_DURAS_RASTA,SITIO_EXPUESTO_SOL_RASTA,OBSERVA_COSTRAS_BLANCAS_RASTA,OBSERVA_COSTAS_NEGRAS_RASTA,REGION_SECA_ARIDA_RASTA,OBSERVA_RAICES_VIVAS_RASTA,PROFUND_RAICES_VIVAS_RASTA,OBSERVA_PLANTAS_PEQUENAS_RASTA,OBSERVA_HOJARASCA_MO_RASTA,SUELO_NEGRO_BLANDO_RASTA,CUCHILLO_PRIMER_HTE_RASTA,CERCA_RIOS_QUEBRADAS_RASTA,RECUBRIMIENTO_VEGETAL__SUELO_RASTA
971,1057,27,ONDULADO,LADERA CONVEXA,2,"18,52","3,35","ND,ND","FL,FAr","BLANDO,DURO",4.5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,SI,26,30,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,22,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
974,1060,33.5,ONDULADO,LADERA CONVEXA,2,"16,54","16,35","ND,ND","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,30,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
976,1062,2,ONDULADO,CIMA,2,"13,57","17,35","ND,ND","FAr,FAr","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,SI,32,40,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,20,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
981,1067,18,ONDULADO,LADERA CONVEXA,2,"10,61","2,34","ND,ND","L,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,35,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
984,1070,42,ONDULADO,LADERA CONVEXA,2,"21,49","2,35","ND,ND","F,FL","BLANDO,BLANDO",4,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,42,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
986,1072,17,ONDULADO,LADERA CONVEXA,2,"17,53","ND,ND","16,35","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,34,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
987,1073,34,ONDULADO,LADERA PLANA,2,"53,17","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,38,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
989,1075,28.5,ONDULADO,LADERA PLANA,2,"20,51","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,32,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
990,1076,10,ONDULADO,LADERA PLANA,2,"21,49","ND,ND","2,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,28,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1005,1091,6,ONDULADO,LADERA PLANA,2,"45,25","ND,ND","3,31","FL,FL","BLANDO,BLANDO",5.5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,46,PLANTAS NORMALES,NO,NO,SI,NO,REGULAR
1011,1097,1,ONDULADO,CIMA,2,"18,52","ND,ND","16,32","FL,FL","BLANDO,BLANDO",4,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,16,MUY AFECTADAS,NO,NO,SI,NO,REGULAR
1012,1098,0.5,ONDULADO,PLANO,2,"65,15","ND,ND","3,38","FL,FL","BLANDO,BLANDO",4,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,16,MUY AFECTADAS,NO,NO,SI,NO,REGULAR
1020,1106,3,ONDULADO,PLANO,2,"19,51","ND,ND","3,32","FL,FL","BLANDO,BLANDO",4.5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,24,MUY AFECTADAS,NO,NO,SI,NO,REGULAR
1021,1107,8.5,ONDULADO,LADERA PLANA,2,"20,51","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,18,MUY AFECTADAS,NO,NO,SI,NO,REGULAR
1022,1108,5,ONDULADO,LADERA PLANA,2,"18,52","ND,ND","3,32","FL,FL","BLANDO,BLANDO",4.5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,16,MUY AFECTADAS,NO,NO,SI,NO,REGULAR
1036,1122,15.5,ONDULADO,LADERA PLANA,2,"7,63","19,34","ND,ND","FL,L","BLANDO,DURO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,SI,50,20,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,18,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1832,2057,27,MONTA‹OSO,LADERA CONVEXA,2,"9,61","8,42","ND,ND","ArA,ArA","BLANDO,BLANDO",4,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,23,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1833,2058,29,MONTA‹OSO,LADERA PLANA,2,"47,23","ND,ND","3,31","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,26,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1834,2059,15,MONTA‹OSO,LADERA PLANA,2,"27,43","ND,ND","6,35","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,28,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1836,2061,38,MONTA‹OSO,LADERA PLANA,2,"18,52","ND,ND","18,34","FL,FL","BLANDO,BLANDO",4.5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,36,POCO AFECTADAS,NO,NO,SI,NO,BUENO
1839,2064,7.5,ONDULADO,LADERA PLANA,1,73,ND,3,FL,BLANDO,5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,52,MUY AFECTADAS,NO,NO,SI,NO,REGULAR
1848,2073,9,ONDULADO,LADERA PLANA,2,"13,57","ND,ND","18,38","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,20,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO
1850,2075,7,ONDULADO,LADERA PLANA,2,"42,28","ND,ND","3,31","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,45,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1855,2080,20,ONDULADO,LADERA CONVEXA,2,"19,51","ND,ND","18,35","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,27,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1857,2082,4.5,ONDULADO,PLANO,2,"40,31","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,25,POCO AFECTADAS,NO,NO,SI,NO,BUENO
1858,2083,11,ONDULADO,LADERA PLANA,2,"63,7","ND,ND","3,35","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,43,MUY AFECTADAS,NO,NO,SI,NO,BUENO
1864,2089,27.5,MONTA‹OSO,LADERA CONVEXA,2,"34,36","ND,ND","3,34","FL,FL","BLANDO,BLANDO",5.5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,21,POCO AFECTADAS,NO,NO,SI,NO,BUENO
1872,2097,4,ONDULADO,PLANO,2,"21,49","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,27,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1874,2099,8,ONDULADO,PLANO,2,"23,47","ND,ND","5,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,22,PLANTAS NORMALES,NO,NO,SI,NO,REGULAR
1875,2100,7,ONDULADO,PLANO,2,"38,32","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,28,MUY AFECTADAS,NO,NO,SI,NO,BUENO
1876,2101,23,ONDULADO,LADERA PLANA,2,"34,36","ND,ND","3,35","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,16,MUY AFECTADAS,NO,NO,SI,NO,BUENO
1877,2102,10.5,ONDULADO,LADERA PLANA,2,"40,31","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,47,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1878,2103,7.5,ONDULADO,LADERA PLANA,2,"23,47","ND,ND","3,34","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,ATERRONADA,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,30,MUY AFECTADAS,NO,NO,SI,NO,ESPACIADO
1879,2104,8.5,ONDULADO,LADERA PLANA,2,"29,41","ND,ND","3,35","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,ATERRONADA,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,30,MUY AFECTADAS,NO,NO,SI,NO,BUENO
1881,2106,10.5,ONDULADO,LADERA PLANA,2,"21,49","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,28,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1882,2107,21.5,MONTA‹OSO,LADERA CONVEXA,2,"41,29","ND,ND","4,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,47,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1890,2115,33,MONTA‹OSO,LADERA CONVEXA,2,"25,45","ND,ND","5,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,39,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1893,2118,14,ONDULADO,PIE DE UNA ELEVACION,2,"61,9","ND,ND","1,33","FAr,FAr","BLANDO,BLANDO",4,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,47,POCO AFECTADAS,NO,NO,SI,NO,MUY BUENO
1897,2122,28,ONDULADO,LADERA CONVEXA,1,70,ND,3,FL,BLANDO,5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,34,PLANTAS NORMALES,NO,NO,SI,NO,MUY BUENO
1901,2126,22.5,MONTA‹OSO,LADERA PLANA,2,"44,26","ND,ND","3,16","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,42,PLANTAS NORMALES,NO,NO,SI,NO,MUY BUENO
1906,2131,11,ONDULADO,LADERA PLANA,2,"11,59","ND,ND","2,34","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,26,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1907,2132,16,MONTA‹OSO,LADERA PLANA,2,"48,22","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,41,PLANTAS NORMALES,NO,NO,SI,NO,MUY BUENO
1910,2135,19.5,ONDULADO,LADERA PLANA,2,"29,41","ND,ND","3,35","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,36,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1912,2137,23,ONDULADO,LADERA CONVEXA,2,"17,53","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,36,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1913,2138,22,ONDULADO,LADERA PLANA,1,73,ND,3,FL,BLANDO,5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,38,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1915,2140,18,MONTA‹OSO,LADERA PLANA,2,"36,34","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,23,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1916,2141,22,MONTA‹OSO,LADERA PLANA,1,70,ND,3,FL,BLANDO,5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,27,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1917,2142,14,MONTA‹OSO,LADERA PLANA,2,"45,25","ND,ND","16,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,23,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1918,2143,19,MONTA‹OSO,LADERA PLANA,2,"48,22","ND,ND","16,35","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,34,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1919,2144,18,MONTA‹OSO,LADERA PLANA,2,"25,45","ND,ND","2,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,27,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1920,2145,24,MONTA‹OSO,LADERA PLANA,2,"27,43","ND,ND","1,19","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,16,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1921,2146,18,MONTA‹OSO,LADERA PLANA,2,"36,34","ND,ND","16,35","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,28,PLANTAS NORMALES,NO,NO,SI,NO,BUENO
1923,2148,13,MONTA‹OSO,PLANO,2,"45,25","ND,ND","19,32","FL,FL","BLANDO,BLANDO",5,NO TIENE,NA,SIN PIEDRAS,SIN ROCAS,SIN PIEDRAS,SIN ROCAS,NO,NA,NA,NA,NO,NA,NA,NO,NA,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,19,PLANTAS NORMALES,NO,NO,SI,NO,REGULAR
