"","prof_efectiva","materia_organica","drenaje_interno","drenaje_externo","ID_LOTE","ID_FINCA","PENDIENTE_RASTA","TERRENO_CIRCUN_RASTA","POSICION_PERFIL_RASTA","NO_CAPAS_RASTA","ESPESOR","COLOR_SECO","COLOR_HUMEDO","TEXTURA","RESIST_ROMPIMIENTO","PH_RASTA","CARBONATOS_RASTA","PROFUNDIDAD_CARBONATOS","PEDREG_SUPERF_PIEDRAS","PEDREG_SUPERF_ROCAS","PEDREG_PERFIL_PIEDRAS","PEDREG_PERFIL_ROCAS","HOR_PEDREG_ROCOSO_RASTA","HOR_PEDREG_ROCOSO_PROFUNDIDAD_RASTA","HOR_PEDREG_ROCOSO_ESPESOR_RASTA","PROFUND_PRIMERAS_ROCAS_PIEDRAS_RASTA..CM.","CAP_ENDURE_RASTA","PROFUND_CAP_ENDURE_RASTA","ESPESOR_CAP_ENDURE_RASTA","MOTEADOS_RASTA","PROFUND_MOTEADOS_RASTA","MOTEADOS_MAS70cm._RASTA","ESTRUCTURA_RASTA","OBSERVA_EROSION_RASTA","OBSERVA_MOHO_RASTA","OBSERVA_COSTRAS_DURAS_RASTA","SITIO_EXPUESTO_SOL_RASTA","OBSERVA_COSTRAS_BLANCAS_RASTA","OBSERVA_COSTAS_NEGRAS_RASTA","REGION_SECA_ARIDA_RASTA","OBSERVA_RAICES_VIVAS_RASTA","PROFUND_RAICES_VIVAS_RASTA","OBSERVA_PLANTAS_PEQUENAS_RASTA","OBSERVA_HOJARASCA_MO_RASTA","SUELO_NEGRO_BLANDO_RASTA","CUCHILLO_PRIMER_HTE_RASTA","CERCA_RIOS_QUEBRADAS_RASTA","RECUBRIMIENTO_VEGETAL__SUELO_RASTA"
"35",70,"MEDIA,MEDIA","BUENO","LENTO",1881,2106,10.5,"ONDULADO","LADERA PLANA",2,"21,49","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",28,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"36",70,"MEDIA,MEDIA","BUENO","MODERADO",1882,2107,21.5,"MONTA‹OSO","LADERA CONVEXA",2,"41,29","ND,ND","4,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",47,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"37",70,"MEDIA,MEDIA","BUENO","MODERADO",1890,2115,33,"MONTA‹OSO","LADERA CONVEXA",2,"25,45","ND,ND","5,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",39,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"38",70,"MEDIA,MEDIA","BUENO","MODERADO",1893,2118,14,"ONDULADO","PIE DE UNA ELEVACION",2,"61,9","ND,ND","1,33","FAr,FAr","BLANDO,BLANDO",4,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",47,"POCO AFECTADAS","NO","NO","SI","NO","MUY BUENO"
"39",70,"MEDIA","BUENO","MODERADO",1897,2122,28,"ONDULADO","LADERA CONVEXA",1,"70","ND","3","FL","BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",34,"PLANTAS NORMALES","NO","NO","SI","NO","MUY BUENO"
"40",70,"MEDIA,MEDIA","BUENO","MODERADO",1901,2126,22.5,"MONTA‹OSO","LADERA PLANA",2,"44,26","ND,ND","3,16","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",42,"PLANTAS NORMALES","NO","NO","SI","NO","MUY BUENO"
"41",70,"MEDIA,MEDIA","BUENO","LENTO",1906,2131,11,"ONDULADO","LADERA PLANA",2,"11,59","ND,ND","2,34","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",26,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"42",70,"MEDIA,MEDIA","BUENO","MODERADO",1907,2132,16,"MONTA‹OSO","LADERA PLANA",2,"48,22","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",41,"PLANTAS NORMALES","NO","NO","SI","NO","MUY BUENO"
"43",70,"MEDIA,MEDIA","BUENO","MODERADO",1910,2135,19.5,"ONDULADO","LADERA PLANA",2,"29,41","ND,ND","3,35","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",36,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"44",70,"MEDIA,MEDIA","BUENO","MODERADO",1912,2137,23,"ONDULADO","LADERA CONVEXA",2,"17,53","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",36,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"45",73,"MEDIA","BUENO","MODERADO",1913,2138,22,"ONDULADO","LADERA PLANA",1,"73","ND","3","FL","BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",38,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"46",70,"MEDIA,MEDIA","BUENO","MODERADO",1915,2140,18,"MONTA‹OSO","LADERA PLANA",2,"36,34","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",23,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"47",70,"MEDIA","BUENO","MODERADO",1916,2141,22,"MONTA‹OSO","LADERA PLANA",1,"70","ND","3","FL","BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",27,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"48",70,"MEDIA,MEDIA","BUENO","MODERADO",1917,2142,14,"MONTA‹OSO","LADERA PLANA",2,"45,25","ND,ND","16,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",23,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"49",70,"MEDIA,MEDIA","BUENO","MODERADO",1918,2143,19,"MONTA‹OSO","LADERA PLANA",2,"48,22","ND,ND","16,35","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",34,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"50",70,"MEDIA,MEDIA","BUENO","MODERADO",1919,2144,18,"MONTA‹OSO","LADERA PLANA",2,"25,45","ND,ND","2,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",27,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"51",70,"MEDIA,MEDIA","BUENO","MODERADO",1920,2145,24,"MONTA‹OSO","LADERA PLANA",2,"27,43","ND,ND","1,19","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",16,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"52",70,"MEDIA,MEDIA","BUENO","MODERADO",1921,2146,18,"MONTA‹OSO","LADERA PLANA",2,"36,34","ND,ND","16,35","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",28,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"53",70,"MEDIA,MEDIA","BUENO","MODERADO",1923,2148,13,"MONTA‹OSO","PLANO",2,"45,25","ND,ND","19,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",19,"PLANTAS NORMALES","NO","NO","SI","NO","REGULAR"
"54",70,"MEDIA,MEDIA","BUENO","MODERADO",1925,2150,13.5,"ONDULADO","LADERA PLANA",2,"12,58","ND,ND","2,24","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",10,"PLANTAS NORMALES","NO","NO","SI","NO","REGULAR"
"55",70,"MEDIA,MEDIA","BUENO","MODERADO",1926,2151,9,"ONDULADO","LADERA PLANA",2,"18,52","ND,ND","2,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",15,"PLANTAS NORMALES","NO","NO","SI","NO","REGULAR"
"56",71,"MEDIA,MEDIA","BUENO","LENTO",1929,2154,13,"ONDULADO","LADERA PLANA",2,"10,61","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",28,"POCO AFECTADAS","NO","NO","SI","NO","BUENO"
"57",71,"MEDIA,MEDIA","BUENO","LENTO",1935,2160,6,"ONDULADO","LADERA PLANA",2,"60,11","ND,ND","3,31","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",45,"MUY AFECTADAS","NO","NO","SI","NO","REGULAR"
"58",70,"MEDIA,MEDIA","BUENO","LENTO",1939,2164,12,"ONDULADO","LADERA PLANA",2,"27,43","ND,ND","3,35","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",19,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"59",70,"MEDIA,MEDIA","BUENO","MODERADO",1942,2167,23,"ONDULADO","LADERA PLANA",2,"6,64","16,34","ND,ND","FL,L","BLANDO,BLANDO",4.5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",32,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"60",70,"MEDIA,MEDIA","BUENO","MODERADO",1947,2172,26,"ONDULADO","LADERA CONVEXA",2,"22,48","3,35","ND,ND","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",40,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"61",70,"MEDIA,MEDIA","BUENO","MODERADO",1949,2174,22,"ONDULADO","LADERA CONVEXA",2,"19,51","ND,ND","2,35","FL,FL","BLANDO,BLANDO",4.5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",38,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"62",70,"MEDIA,MEDIA","BUENO","MODERADO",1952,2176,22,"ONDULADO","LADERA PLANA",2,"12,58","ND,ND","2,32","F,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",40,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"63",70,"MUY ALTA,MUY ALTA","BUENO","MODERADO",2370,2430,46,"ONDULADO Y MONTA‹OSO","LADERA CONCAVA",2,"60,10","ND,ND","1,1","F,FL","FRIABLE,FRIABLE",5.5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",60,"NO HAY CULTIVO","SI","SI","SI","NO","MUY BUENO"
"64",25,"MEDIA,MEDIA","BUENO","MODERADO",2424,2469,46,"ONDULADO Y MONTA‹OSO","LADERA CONCAVA",2,"25,45","ND,ND","16,24","A,ArA","FRIABLE,FRIABLE",5.5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",25,"NO HAY CULTIVO","SI","NO","SI","NO","MUY BUENO"
"65",55,"MEDIA,BAJA","BUENO","MODERADO",2918,2756,25,"ONDULADO","LADERA CONCAVA",2,"35,25","ND,ND","4,19","FA,FAr","FRIABLE,FIRME",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"SI",55,"SI","GRANULAR","NO","NO","NO HAY","LA MANANA","NO HAY","NO HAY","NO","SI",36,"PLANTAS NORMALES","NO","NO","SI","NO","MUY BUENO"
"66",70,"MEDIA,MEDIA","BUENO","MODERADO",2919,2757,18,"ONDULADO Y MONTA‹OSO","LADERA CONCAVA",2,"35,35","ND,ND","5,18","F,F","FRIABLE,FRIABLE",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",70,"PLANTAS NORMALES","NO","NO","SI","NO","MUY BUENO"
"67",60,"MEDIA,MEDIA","BUENO","MODERADO",2920,2757,26,"ONDULADO Y MONTA‹OSO","LADERA PLANA",2,"30,30","ND,ND","1,16","F,F","FRIABLE,FRIABLE",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",60,"PLANTAS NORMALES","NO","NO","SI","NO","MUY BUENO"
"68",60,"MEDIA,MEDIA","BUENO","MODERADO",2921,2757,25,"ONDULADO Y MONTA‹OSO","LADERA PLANA",2,"15,45","ND,ND","2,19","FA,FAr","FRIABLE,FIRME",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA TARDE","NO HAY","NO HAY","NO","SI",60,"PLANTAS NORMALES","NO","NO","SI","NO","MUY BUENO"
"69",60,"MEDIA","BUENO","MODERADO",2922,2758,25,"ONDULADO","PIE DE UNA ELEVACION",1,"60","ND","31","FAr","FRIABLE",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA","NO HAY","NO HAY","NO","SI",60,"PLANTAS NORMALES","NO","NO","SI","NO","MUY BUENO"
"70",60,"MEDIA,MEDIA","BUENO","MODERADO",2923,2758,20,"ONDULADO Y MONTA‹OSO","LADERA CONCAVA",2,"25,35","ND,ND","18,1","F,F","FRIABLE,FIRME",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",60,"PLANTAS NORMALES","NO","NO","SI","NO","MUY BUENO"
"71",70,"MEDIA,MEDIA","BUENO","LENTO",2924,2758,13,"ONDULADO","LADERA CONCAVA",2,"30,40","ND,ND","2,19","F,F","FRIABLE,FRIABLE",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",70,"PLANTAS NORMALES","NO","NO","SI","NO","MUY BUENO"
